location,date,total_cases,new_cases
Afghanistan,2022-04-08,177805,0
Africa,2022-04-08,11945131,0
Albania,2022-04-08,273759,0
Algeria,2022-04-08,265684,0
American Samoa,2022-04-08,4656,0
Andorra,2022-04-08,40024,0
Angola,2022-04-08,99194,0
Anguilla,2022-04-08,2700,0
Antigua and Barbuda,2022-04-08,7493,0
Argentina,2022-04-08,9030866,0
Armenia,2022-04-08,422574,0
Aruba,2022-04-08,33966,0
Asia,2022-04-08,140668688,0
Australia,2022-04-08,4563382,0
Austria,2022-04-08,3890190,0
Azerbaijan,2022-04-08,792019,0
Bahamas,2022-04-08,33295,0
Bahrain,2022-04-08,555560,0
Bangladesh,2022-04-08,1951770,0
Barbados,2022-04-08,59495,0
Belarus,2022-04-08,964677,0
Belgium,2022-04-08,3877957,0
Belize,2022-04-08,57289,0
Benin,2022-04-08,26595,0
Bermuda,2022-04-08,12564,0
Bhutan,2022-04-08,31437,0
Bolivia,2022-04-08,902448,0
Bonaire Sint Eustatius and Saba,2022-04-08,8189,0
Bosnia and Herzegovina,2022-04-08,375665,0
Botswana,2022-04-08,305770,0
Brazil,2022-04-08,29975165,0
British Virgin Islands,2022-04-08,6141,0
Brunei,2022-04-08,135974,0
Bulgaria,2022-04-08,1140453,0
Burkina Faso,2022-04-08,20858,0
Burundi,2022-04-08,38588,0
Cambodia,2022-04-08,135747,0
Cameroon,2022-04-08,119725,0
Canada,2022-04-08,3492403,0
Cape Verde,2022-04-08,55960,0
Cayman Islands,2022-04-08,20606,0
Central African Republic,2022-04-08,14352,0
Chad,2022-04-08,7308,0
Chile,2022-04-08,3482175,0
China,2022-04-08,922543,0
Colombia,2022-04-08,6085270,0
Comoros,2022-04-08,8093,0
Congo,2022-04-08,24017,0
Cook Islands,2022-04-08,2406,0
Costa Rica,2022-04-08,839368,0
Cote d'Ivoire,2022-04-08,81761,0
Croatia,2022-04-08,1101921,0
Cuba,2022-04-08,1091852,0
Curacao,2022-04-08,40346,0
Cyprus,2022-04-08,436949,0
Czechia,2022-04-08,4093474,0
Democratic Republic of Congo,2022-04-08,86872,0
Denmark,2022-04-08,3064625,0
Djibouti,2022-04-08,15588,0
Dominica,2022-04-08,11897,0
Dominican Republic,2022-04-08,578179,0
East Timor,2022-04-08,22832,0
Ecuador,2022-04-08,861753,0
Egypt,2022-04-08,509177,0
El Salvador,2022-04-08,161052,0
Equatorial Guinea,2022-04-08,15904,0
Eritrea,2022-04-08,9728,0
Estonia,2022-04-08,544080,0
Eswatini,2022-04-08,69838,0
Ethiopia,2022-04-08,469806,0
Europe,2022-04-08,181201235,0
European Union (27),2022-04-08,126893438,0
Falkland Islands,2022-04-08,124,0
Faroe Islands,2022-04-08,34658,0
Fiji,2022-04-08,64417,0
Finland,2022-04-08,997537,0
France,2022-04-08,25076110,0
French Guiana,2022-04-08,79075,0
French Polynesia,2022-04-08,72386,0
Gabon,2022-04-08,47586,0
Gambia,2022-04-08,11990,0
Georgia,2022-04-08,1649222,0
Germany,2022-04-08,21861236,0
Ghana,2022-04-08,161034,0
Gibraltar,2022-04-08,16979,0
Greece,2022-04-08,3085410,0
Greenland,2022-04-08,11971,0
Grenada,2022-04-08,14024,0
Guadeloupe,2022-04-08,139516,0
Guam,2022-04-08,39910,0
Guatemala,2022-04-08,829881,0
Guernsey,2022-04-08,22257,0
Guinea,2022-04-08,36502,0
Guinea-Bissau,2022-04-08,8151,0
Guyana,2022-04-08,63258,0
Haiti,2022-04-08,30575,0
High-income countries,2022-04-08,276382281,0
Honduras,2022-04-08,421170,0
Hungary,2022-04-08,1854198,0
Iceland,2022-04-08,174342,0
India,2022-04-08,43028131,0
Indonesia,2022-04-08,6019981,0
Iran,2022-04-08,7166371,0
Iraq,2022-04-08,2320126,0
Ireland,2022-04-08,1479162,0
Isle of Man,2022-04-08,28890,0
Israel,2022-04-08,3939698,0
Italy,2022-04-08,14790806,0
Jamaica,2022-04-08,128811,0
Japan,2022-04-08,6702086,0
Jersey,2022-04-08,47025,0
Jordan,2022-04-08,1694216,0
Kazakhstan,2022-04-08,1393892,0
Kenya,2022-04-08,323450,0
Kiribati,2022-04-08,3067,0
Kosovo,2022-04-08,227490,0
Kuwait,2022-04-08,629525,0
Kyrgyzstan,2022-04-08,82858,0
Laos,2022-04-08,183560,0
Latvia,2022-04-08,802532,0
Lebanon,2022-04-08,1092807,0
Lesotho,2022-04-08,32910,0
Liberia,2022-04-08,7400,0
Libya,2022-04-08,501738,0
Liechtenstein,2022-04-08,16497,0
Lithuania,2022-04-08,1117987,0
Low-income countries,2022-04-08,1778556,0
Lower-middle-income countries,2022-04-08,85155351,0
Luxembourg,2022-04-08,238752,0
Madagascar,2022-04-08,64050,0
Malawi,2022-04-08,85657,0
Malaysia,2022-04-08,4246467,0
Maldives,2022-04-08,177759,0
Mali,2022-04-08,30493,0
Malta,2022-04-08,81725,0
Marshall Islands,2022-04-08,7,0
Martinique,2022-04-08,145966,0
Mauritania,2022-04-08,58670,0
Mauritius,2022-04-08,214425,0
Mayotte,2022-04-08,36839,0
Mexico,2022-04-08,5760753,0
Micronesia (country),2022-04-08,0,0
Moldova,2022-04-08,514199,0
Monaco,2022-04-08,11289,0
Mongolia,2022-04-08,919544,0
Montenegro,2022-04-08,205097,0
Montserrat,2022-04-08,175,0
Morocco,2022-04-08,1163472,0
Mozambique,2022-04-08,225264,0
Myanmar,2022-04-08,611875,0
Namibia,2022-04-08,157757,0
Nauru,2022-04-08,2,0
Nepal,2022-04-08,978475,0
Netherlands,2022-04-08,7923000,0
New Caledonia,2022-04-08,60430,0
New Zealand,2022-04-08,701983,0
Nicaragua,2022-04-08,14269,0
Niger,2022-04-08,8810,0
Nigeria,2022-04-08,255468,0
Niue,2022-04-08,7,0
North America,2022-04-08,94944290,0
North Korea,2022-04-08,0,0
North Macedonia,2022-04-08,306616,0
Northern Mariana Islands,2022-04-08,11065,0
Norway,2022-04-08,1409933,0
Oceania,2022-04-08,5597099,0
Oman,2022-04-08,388432,0
Pakistan,2022-04-08,1525181,0
Palau,2022-04-08,4042,0
Palestine,2022-04-08,656287,0
Panama,2022-04-08,764831,0
Papua New Guinea,2022-04-08,43388,0
Paraguay,2022-04-08,648353,0
Peru,2022-04-08,3547606,0
Philippines,2022-04-08,3679175,0
Pitcairn,2022-04-08,0,0
Poland,2022-04-08,5969086,0
Portugal,2022-04-08,3763712,0
Puerto Rico,2022-04-08,505229,0
Qatar,2022-04-08,361667,0
Reunion,2022-04-08,336945,0
Romania,2022-04-08,2858665,0
Russia,2022-04-08,17896866,0
Rwanda,2022-04-08,129729,0
Saint Barthelemy,2022-04-08,4069,0
Saint Helena,2022-04-08,0,0
Saint Kitts and Nevis,2022-04-08,5549,0
Saint Lucia,2022-04-08,22959,0
Saint Martin (French part),2022-04-08,10069,0
Saint Pierre and Miquelon,2022-04-08,2236,0
Saint Vincent and the Grenadines,2022-04-08,8337,0
Samoa,2022-04-08,2787,0
San Marino,2022-04-08,15432,0
Sao Tome and Principe,2022-04-08,5945,0
Saudi Arabia,2022-04-08,750998,0
Senegal,2022-04-08,85911,0
Serbia,2022-04-08,1979729,0
Seychelles,2022-04-08,40637,0
Sierra Leone,2022-04-08,7674,0
Singapore,2022-04-08,1109744,0
Sint Maarten (Dutch part),2022-04-08,9698,0
Slovakia,2022-04-08,1725487,0
Slovenia,2022-04-08,975513,0
Solomon Islands,2022-04-08,11470,0
Somalia,2022-04-08,26410,0
South Africa,2022-04-08,3722065,0
South America,2022-04-08,56164588,0
South Korea,2022-04-08,14001266,0
South Sudan,2022-04-08,17286,0
Spain,2022-04-08,11652243,0
Sri Lanka,2022-04-08,661991,0
Sudan,2022-04-08,61985,0
Suriname,2022-04-08,79229,0
Sweden,2022-04-08,2490628,0
Switzerland,2022-04-08,3502903,0
Syria,2022-04-08,55706,0
Tajikistan,2022-04-08,17786,0
Tanzania,2022-04-08,33836,0
Thailand,2022-04-08,3711595,0
Togo,2022-04-08,36943,0
Tokelau,2022-04-08,0,0
Tonga,2022-04-08,7127,0
Trinidad and Tobago,2022-04-08,138159,0
Tunisia,2022-04-08,1035884,0
Turkey,2022-04-08,14885710,0
Turkmenistan,2022-04-08,0,0
Turks and Caicos Islands,2022-04-08,5910,0
Tuvalu,2022-04-08,0,0
Uganda,2022-04-08,163885,0
Ukraine,2022-04-08,4931463,0
United Arab Emirates,2022-04-08,891872,0
United Kingdom,2022-04-08,21311981,0
United States,2022-04-08,79497642,0
United States Virgin Islands,2022-04-08,15656,0
Upper-middle-income countries,2022-04-08,126413674,0
Uruguay,2022-04-08,888639,0
Uzbekistan,2022-04-08,156290,0
Vanuatu,2022-04-08,4114,0
Vatican,2022-04-08,26,0
Venezuela,2022-04-08,520627,0
Vietnam,2022-04-08,9818328,0
Wallis and Futuna,2022-04-08,453,0
World,2022-04-08,490521031,0
Yemen,2022-04-08,11806,0
Zambia,2022-04-08,317031,0
Zimbabwe,2022-04-08,246481,0
Afghanistan,2022-04-07,177805,0
Africa,2022-04-07,11945131,0
Albania,2022-04-07,273759,0
Algeria,2022-04-07,265684,0
American Samoa,2022-04-07,4656,0
Andorra,2022-04-07,40024,0
Angola,2022-04-07,99194,0
Anguilla,2022-04-07,2700,0
Antigua and Barbuda,2022-04-07,7493,0
Argentina,2022-04-07,9030866,0
Armenia,2022-04-07,422574,0
Aruba,2022-04-07,33966,0
Asia,2022-04-07,140668688,0
Australia,2022-04-07,4563382,0
Austria,2022-04-07,3890190,0
Azerbaijan,2022-04-07,792019,0
Bahamas,2022-04-07,33295,0
Bahrain,2022-04-07,555560,0
Bangladesh,2022-04-07,1951770,0
Barbados,2022-04-07,59495,0
Belarus,2022-04-07,964677,0
Belgium,2022-04-07,3877957,0
Belize,2022-04-07,57289,0
Benin,2022-04-07,26595,0
Bermuda,2022-04-07,12564,0
Bhutan,2022-04-07,31437,0
Bolivia,2022-04-07,902448,0
Bonaire Sint Eustatius and Saba,2022-04-07,8189,0
Bosnia and Herzegovina,2022-04-07,375665,0
Botswana,2022-04-07,305770,0
Brazil,2022-04-07,29975165,0
British Virgin Islands,2022-04-07,6141,0
Brunei,2022-04-07,135974,0
Bulgaria,2022-04-07,1140453,0
Burkina Faso,2022-04-07,20858,0
Burundi,2022-04-07,38588,0
Cambodia,2022-04-07,135747,0
Cameroon,2022-04-07,119725,0
Canada,2022-04-07,3492403,0
Cape Verde,2022-04-07,55960,0
Cayman Islands,2022-04-07,20606,0
Central African Republic,2022-04-07,14352,0
Chad,2022-04-07,7308,0
Chile,2022-04-07,3482175,0
China,2022-04-07,922543,0
Colombia,2022-04-07,6085270,0
Comoros,2022-04-07,8093,0
Congo,2022-04-07,24017,0
Cook Islands,2022-04-07,2406,0
Costa Rica,2022-04-07,839368,0
Cote d'Ivoire,2022-04-07,81761,0
Croatia,2022-04-07,1101921,0
Cuba,2022-04-07,1091852,0
Curacao,2022-04-07,40346,0
Cyprus,2022-04-07,436949,0
Czechia,2022-04-07,4093474,0
Democratic Republic of Congo,2022-04-07,86872,0
Denmark,2022-04-07,3064625,0
Djibouti,2022-04-07,15588,0
Dominica,2022-04-07,11897,0
Dominican Republic,2022-04-07,578179,0
East Timor,2022-04-07,22832,0
Ecuador,2022-04-07,861753,0
Egypt,2022-04-07,509177,0
El Salvador,2022-04-07,161052,0
Equatorial Guinea,2022-04-07,15904,0
Eritrea,2022-04-07,9728,0
Estonia,2022-04-07,544080,0
Eswatini,2022-04-07,69838,0
Ethiopia,2022-04-07,469806,0
Europe,2022-04-07,181201235,0
European Union (27),2022-04-07,126893438,0
Falkland Islands,2022-04-07,124,0
Faroe Islands,2022-04-07,34658,0
Fiji,2022-04-07,64417,0
Finland,2022-04-07,997537,0
France,2022-04-07,25076110,0
French Guiana,2022-04-07,79075,0
French Polynesia,2022-04-07,72386,0
Gabon,2022-04-07,47586,0
Gambia,2022-04-07,11990,0
Georgia,2022-04-07,1649222,0
Germany,2022-04-07,21861236,0
Ghana,2022-04-07,161034,0
Gibraltar,2022-04-07,16979,0
Greece,2022-04-07,3085410,0
Greenland,2022-04-07,11971,0
Grenada,2022-04-07,14024,0
Guadeloupe,2022-04-07,139516,0
Guam,2022-04-07,39910,0
Guatemala,2022-04-07,829881,0
Guernsey,2022-04-07,22257,0
Guinea,2022-04-07,36502,0
Guinea-Bissau,2022-04-07,8151,0
Guyana,2022-04-07,63258,0
Haiti,2022-04-07,30575,0
High-income countries,2022-04-07,276382281,0
Honduras,2022-04-07,421170,0
Hungary,2022-04-07,1854198,0
Iceland,2022-04-07,174342,0
India,2022-04-07,43028131,0
Indonesia,2022-04-07,6019981,0
Iran,2022-04-07,7166371,0
Iraq,2022-04-07,2320126,0
Ireland,2022-04-07,1479162,0
Isle of Man,2022-04-07,28890,0
Israel,2022-04-07,3939698,0
Italy,2022-04-07,14790806,0
Jamaica,2022-04-07,128811,0
Japan,2022-04-07,6702086,0
Jersey,2022-04-07,47025,0
Jordan,2022-04-07,1694216,0
Kazakhstan,2022-04-07,1393892,0
Kenya,2022-04-07,323450,0
Kiribati,2022-04-07,3067,0
Kosovo,2022-04-07,227490,0
Kuwait,2022-04-07,629525,0
Kyrgyzstan,2022-04-07,82858,0
Laos,2022-04-07,183560,0
Latvia,2022-04-07,802532,0
Lebanon,2022-04-07,1092807,0
Lesotho,2022-04-07,32910,0
Liberia,2022-04-07,7400,0
Libya,2022-04-07,501738,0
Liechtenstein,2022-04-07,16497,0
Lithuania,2022-04-07,1117987,0
Low-income countries,2022-04-07,1778556,0
Lower-middle-income countries,2022-04-07,85155351,0
Luxembourg,2022-04-07,238752,0
Madagascar,2022-04-07,64050,0
Malawi,2022-04-07,85657,0
Malaysia,2022-04-07,4246467,0
Maldives,2022-04-07,177759,0
Mali,2022-04-07,30493,0
Malta,2022-04-07,81725,0
Marshall Islands,2022-04-07,7,0
Martinique,2022-04-07,145966,0
Mauritania,2022-04-07,58670,0
Mauritius,2022-04-07,214425,0
Mayotte,2022-04-07,36839,0
Mexico,2022-04-07,5760753,0
Micronesia (country),2022-04-07,0,0
Moldova,2022-04-07,514199,0
Monaco,2022-04-07,11289,0
Mongolia,2022-04-07,919544,0
Montenegro,2022-04-07,205097,0
Montserrat,2022-04-07,175,0
Morocco,2022-04-07,1163472,0
Mozambique,2022-04-07,225264,0
Myanmar,2022-04-07,611875,0
Namibia,2022-04-07,157757,0
Nauru,2022-04-07,2,0
Nepal,2022-04-07,978475,0
Netherlands,2022-04-07,7923000,0
New Caledonia,2022-04-07,60430,0
New Zealand,2022-04-07,701983,0
Nicaragua,2022-04-07,14269,0
Niger,2022-04-07,8810,0
Nigeria,2022-04-07,255468,0
Niue,2022-04-07,7,0
North America,2022-04-07,94944290,0
North Korea,2022-04-07,0,0
North Macedonia,2022-04-07,306616,0
Northern Mariana Islands,2022-04-07,11065,0
Norway,2022-04-07,1409933,0
Oceania,2022-04-07,5597099,0
Oman,2022-04-07,388432,0
Pakistan,2022-04-07,1525181,0
Palau,2022-04-07,4042,0
Palestine,2022-04-07,656287,0
Panama,2022-04-07,764831,0
Papua New Guinea,2022-04-07,43388,0
Paraguay,2022-04-07,648353,0
Peru,2022-04-07,3547606,0
Philippines,2022-04-07,3679175,0
Pitcairn,2022-04-07,0,0
Poland,2022-04-07,5969086,0
Portugal,2022-04-07,3763712,0
Puerto Rico,2022-04-07,505229,0
Qatar,2022-04-07,361667,0
Reunion,2022-04-07,336945,0
Romania,2022-04-07,2858665,0
Russia,2022-04-07,17896866,0
Rwanda,2022-04-07,129729,0
Saint Barthelemy,2022-04-07,4069,0
Saint Helena,2022-04-07,0,0
Saint Kitts and Nevis,2022-04-07,5549,0
Saint Lucia,2022-04-07,22959,0
Saint Martin (French part),2022-04-07,10069,0
Saint Pierre and Miquelon,2022-04-07,2236,0
Saint Vincent and the Grenadines,2022-04-07,8337,0
Samoa,2022-04-07,2787,0
San Marino,2022-04-07,15432,0
Sao Tome and Principe,2022-04-07,5945,0
Saudi Arabia,2022-04-07,750998,0
Senegal,2022-04-07,85911,0
Serbia,2022-04-07,1979729,0
Seychelles,2022-04-07,40637,0
Sierra Leone,2022-04-07,7674,0
Singapore,2022-04-07,1109744,0
Sint Maarten (Dutch part),2022-04-07,9698,0
Slovakia,2022-04-07,1725487,0
Slovenia,2022-04-07,975513,0
Solomon Islands,2022-04-07,11470,0
Somalia,2022-04-07,26410,0
South Africa,2022-04-07,3722065,0
South America,2022-04-07,56164588,0
South Korea,2022-04-07,14001266,0
South Sudan,2022-04-07,17286,0
Spain,2022-04-07,11652243,0
Sri Lanka,2022-04-07,661991,0
Sudan,2022-04-07,61985,0
Suriname,2022-04-07,79229,0
Sweden,2022-04-07,2490628,0
Switzerland,2022-04-07,3502903,0
Syria,2022-04-07,55706,0
Tajikistan,2022-04-07,17786,0
Tanzania,2022-04-07,33836,0
Thailand,2022-04-07,3711595,0
Togo,2022-04-07,36943,0
Tokelau,2022-04-07,0,0
Tonga,2022-04-07,7127,0
Trinidad and Tobago,2022-04-07,138159,0
Tunisia,2022-04-07,1035884,0
Turkey,2022-04-07,14885710,0
Turkmenistan,2022-04-07,0,0
Turks and Caicos Islands,2022-04-07,5910,0
Tuvalu,2022-04-07,0,0
Uganda,2022-04-07,163885,0
Ukraine,2022-04-07,4931463,0
United Arab Emirates,2022-04-07,891872,0
United Kingdom,2022-04-07,21311981,0
United States,2022-04-07,79497642,0
United States Virgin Islands,2022-04-07,15656,0
Upper-middle-income countries,2022-04-07,126413674,0
Uruguay,2022-04-07,888639,0
Uzbekistan,2022-04-07,156290,0
Vanuatu,2022-04-07,4114,0
Vatican,2022-04-07,26,0
Venezuela,2022-04-07,520627,0
Vietnam,2022-04-07,9818328,0
Wallis and Futuna,2022-04-07,453,0
World,2022-04-07,490521031,0
Yemen,2022-04-07,11806,0
Zambia,2022-04-07,317031,0
Zimbabwe,2022-04-07,246481,0
Afghanistan,2022-04-06,177805,0
Africa,2022-04-06,11945131,0
Albania,2022-04-06,273759,0
Algeria,2022-04-06,265684,0
American Samoa,2022-04-06,4656,0
Andorra,2022-04-06,40024,0
Angola,2022-04-06,99194,0
Anguilla,2022-04-06,2700,0
Antigua and Barbuda,2022-04-06,7493,0
Argentina,2022-04-06,9030866,0
Armenia,2022-04-06,422574,0
Aruba,2022-04-06,33966,0
Asia,2022-04-06,140668688,0
Australia,2022-04-06,4563382,0
Austria,2022-04-06,3890190,0
Azerbaijan,2022-04-06,792019,0
Bahamas,2022-04-06,33295,0
Bahrain,2022-04-06,555560,0
Bangladesh,2022-04-06,1951770,0
Barbados,2022-04-06,59495,0
Belarus,2022-04-06,964677,0
Belgium,2022-04-06,3877957,0
Belize,2022-04-06,57289,0
Benin,2022-04-06,26595,0
Bermuda,2022-04-06,12564,0
Bhutan,2022-04-06,31437,0
Bolivia,2022-04-06,902448,0
Bonaire Sint Eustatius and Saba,2022-04-06,8189,0
Bosnia and Herzegovina,2022-04-06,375665,0
Botswana,2022-04-06,305770,0
Brazil,2022-04-06,29975165,0
British Virgin Islands,2022-04-06,6141,0
Brunei,2022-04-06,135974,0
Bulgaria,2022-04-06,1140453,0
Burkina Faso,2022-04-06,20858,0
Burundi,2022-04-06,38588,0
Cambodia,2022-04-06,135747,0
Cameroon,2022-04-06,119725,0
Canada,2022-04-06,3492403,0
Cape Verde,2022-04-06,55960,0
Cayman Islands,2022-04-06,20606,0
Central African Republic,2022-04-06,14352,0
Chad,2022-04-06,7308,0
Chile,2022-04-06,3482175,0
China,2022-04-06,922543,0
Colombia,2022-04-06,6085270,0
Comoros,2022-04-06,8093,0
Congo,2022-04-06,24017,0
Cook Islands,2022-04-06,2406,0
Costa Rica,2022-04-06,839368,0
Cote d'Ivoire,2022-04-06,81761,0
Croatia,2022-04-06,1101921,0
Cuba,2022-04-06,1091852,0
Curacao,2022-04-06,40346,0
Cyprus,2022-04-06,436949,0
Czechia,2022-04-06,4093474,0
Democratic Republic of Congo,2022-04-06,86872,0
Denmark,2022-04-06,3064625,0
Djibouti,2022-04-06,15588,0
Dominica,2022-04-06,11897,0
Dominican Republic,2022-04-06,578179,0
East Timor,2022-04-06,22832,0
Ecuador,2022-04-06,861753,0
Egypt,2022-04-06,509177,0
El Salvador,2022-04-06,161052,0
Equatorial Guinea,2022-04-06,15904,0
Eritrea,2022-04-06,9728,0
Estonia,2022-04-06,544080,0
Eswatini,2022-04-06,69838,0
Ethiopia,2022-04-06,469806,0
Europe,2022-04-06,181201235,0
European Union (27),2022-04-06,126893438,0
Falkland Islands,2022-04-06,124,0
Faroe Islands,2022-04-06,34658,0
Fiji,2022-04-06,64417,0
Finland,2022-04-06,997537,0
France,2022-04-06,25076110,0
French Guiana,2022-04-06,79075,0
French Polynesia,2022-04-06,72386,0
Gabon,2022-04-06,47586,0
Gambia,2022-04-06,11990,0
Georgia,2022-04-06,1649222,0
Germany,2022-04-06,21861236,0
Ghana,2022-04-06,161034,0
Gibraltar,2022-04-06,16979,0
Greece,2022-04-06,3085410,0
Greenland,2022-04-06,11971,0
Grenada,2022-04-06,14024,0
Guadeloupe,2022-04-06,139516,0
Guam,2022-04-06,39910,0
Guatemala,2022-04-06,829881,0
Guernsey,2022-04-06,22257,0
Guinea,2022-04-06,36502,0
Guinea-Bissau,2022-04-06,8151,0
Guyana,2022-04-06,63258,0
Haiti,2022-04-06,30575,0
High-income countries,2022-04-06,276382281,0
Honduras,2022-04-06,421170,0
Hungary,2022-04-06,1854198,0
Iceland,2022-04-06,174342,0
India,2022-04-06,43028131,0
Indonesia,2022-04-06,6019981,0
Iran,2022-04-06,7166371,0
Iraq,2022-04-06,2320126,0
Ireland,2022-04-06,1479162,0
Isle of Man,2022-04-06,28890,0
Israel,2022-04-06,3939698,0
Italy,2022-04-06,14790806,0
Jamaica,2022-04-06,128811,0
Japan,2022-04-06,6702086,0
Jersey,2022-04-06,47025,0
Jordan,2022-04-06,1694216,0
Kazakhstan,2022-04-06,1393892,0
Kenya,2022-04-06,323450,0
Kiribati,2022-04-06,3067,0
Kosovo,2022-04-06,227490,0
Kuwait,2022-04-06,629525,0
Kyrgyzstan,2022-04-06,82858,0
Laos,2022-04-06,183560,0
Latvia,2022-04-06,802532,0
Lebanon,2022-04-06,1092807,0
Lesotho,2022-04-06,32910,0
Liberia,2022-04-06,7400,0
Libya,2022-04-06,501738,0
Liechtenstein,2022-04-06,16497,0
Lithuania,2022-04-06,1117987,0
Low-income countries,2022-04-06,1778556,0
Lower-middle-income countries,2022-04-06,85155351,0
Luxembourg,2022-04-06,238752,0
Madagascar,2022-04-06,64050,0
Malawi,2022-04-06,85657,0
Malaysia,2022-04-06,4246467,0
Maldives,2022-04-06,177759,0
Mali,2022-04-06,30493,0
Malta,2022-04-06,81725,0
Marshall Islands,2022-04-06,7,0
Martinique,2022-04-06,145966,0
Mauritania,2022-04-06,58670,0
Mauritius,2022-04-06,214425,0
Mayotte,2022-04-06,36839,0
Mexico,2022-04-06,5760753,0
Micronesia (country),2022-04-06,0,0
Moldova,2022-04-06,514199,0
Monaco,2022-04-06,11289,0
Mongolia,2022-04-06,919544,0
Montenegro,2022-04-06,205097,0
Montserrat,2022-04-06,175,0
Morocco,2022-04-06,1163472,0
Mozambique,2022-04-06,225264,0
Myanmar,2022-04-06,611875,0
Namibia,2022-04-06,157757,0
Nauru,2022-04-06,2,0
Nepal,2022-04-06,978475,0
Netherlands,2022-04-06,7923000,0
New Caledonia,2022-04-06,60430,0
New Zealand,2022-04-06,701983,0
Nicaragua,2022-04-06,14269,0
Niger,2022-04-06,8810,0
Nigeria,2022-04-06,255468,0
Niue,2022-04-06,7,0
North America,2022-04-06,94944290,0
North Korea,2022-04-06,0,0
North Macedonia,2022-04-06,306616,0
Northern Mariana Islands,2022-04-06,11065,0
Norway,2022-04-06,1409933,0
Oceania,2022-04-06,5597099,0
Oman,2022-04-06,388432,0
Pakistan,2022-04-06,1525181,0
Palau,2022-04-06,4042,0
Palestine,2022-04-06,656287,0
Panama,2022-04-06,764831,0
Papua New Guinea,2022-04-06,43388,0
Paraguay,2022-04-06,648353,0
Peru,2022-04-06,3547606,0
Philippines,2022-04-06,3679175,0
Pitcairn,2022-04-06,0,0
Poland,2022-04-06,5969086,0
Portugal,2022-04-06,3763712,0
Puerto Rico,2022-04-06,505229,0
Qatar,2022-04-06,361667,0
Reunion,2022-04-06,336945,0
Romania,2022-04-06,2858665,0
Russia,2022-04-06,17896866,0
Rwanda,2022-04-06,129729,0
Saint Barthelemy,2022-04-06,4069,0
Saint Helena,2022-04-06,0,0
Saint Kitts and Nevis,2022-04-06,5549,0
Saint Lucia,2022-04-06,22959,0
Saint Martin (French part),2022-04-06,10069,0
Saint Pierre and Miquelon,2022-04-06,2236,0
Saint Vincent and the Grenadines,2022-04-06,8337,0
Samoa,2022-04-06,2787,0
San Marino,2022-04-06,15432,0
Sao Tome and Principe,2022-04-06,5945,0
Saudi Arabia,2022-04-06,750998,0
Senegal,2022-04-06,85911,0
Serbia,2022-04-06,1979729,0
Seychelles,2022-04-06,40637,0
Sierra Leone,2022-04-06,7674,0
Singapore,2022-04-06,1109744,0
Sint Maarten (Dutch part),2022-04-06,9698,0
Slovakia,2022-04-06,1725487,0
Slovenia,2022-04-06,975513,0
Solomon Islands,2022-04-06,11470,0
Somalia,2022-04-06,26410,0
South Africa,2022-04-06,3722065,0
South America,2022-04-06,56164588,0
South Korea,2022-04-06,14001266,0
South Sudan,2022-04-06,17286,0
Spain,2022-04-06,11652243,0
Sri Lanka,2022-04-06,661991,0
Sudan,2022-04-06,61985,0
Suriname,2022-04-06,79229,0
Sweden,2022-04-06,2490628,0
Switzerland,2022-04-06,3502903,0
Syria,2022-04-06,55706,0
Tajikistan,2022-04-06,17786,0
Tanzania,2022-04-06,33836,0
Thailand,2022-04-06,3711595,0
Togo,2022-04-06,36943,0
Tokelau,2022-04-06,0,0
Tonga,2022-04-06,7127,0
Trinidad and Tobago,2022-04-06,138159,0
Tunisia,2022-04-06,1035884,0
Turkey,2022-04-06,14885710,0
Turkmenistan,2022-04-06,0,0
Turks and Caicos Islands,2022-04-06,5910,0
Tuvalu,2022-04-06,0,0
Uganda,2022-04-06,163885,0
Ukraine,2022-04-06,4931463,0
United Arab Emirates,2022-04-06,891872,0
United Kingdom,2022-04-06,21311981,0
United States,2022-04-06,79497642,0
United States Virgin Islands,2022-04-06,15656,0
Upper-middle-income countries,2022-04-06,126413674,0
Uruguay,2022-04-06,888639,0
Uzbekistan,2022-04-06,156290,0
Vanuatu,2022-04-06,4114,0
Vatican,2022-04-06,26,0
Venezuela,2022-04-06,520627,0
Vietnam,2022-04-06,9818328,0
Wallis and Futuna,2022-04-06,453,0
World,2022-04-06,490521031,0
Yemen,2022-04-06,11806,0
Zambia,2022-04-06,317031,0
Zimbabwe,2022-04-06,246481,0
Afghanistan,2022-04-05,177805,0
Africa,2022-04-05,11945131,0
Albania,2022-04-05,273759,0
Algeria,2022-04-05,265684,0
American Samoa,2022-04-05,4656,0
Andorra,2022-04-05,40024,0
Angola,2022-04-05,99194,0
Anguilla,2022-04-05,2700,0
Antigua and Barbuda,2022-04-05,7493,0
Argentina,2022-04-05,9030866,0
Armenia,2022-04-05,422574,0
Aruba,2022-04-05,33966,0
Asia,2022-04-05,140668688,0
Australia,2022-04-05,4563382,0
Austria,2022-04-05,3890190,0
Azerbaijan,2022-04-05,792019,0
Bahamas,2022-04-05,33295,0
Bahrain,2022-04-05,555560,0
Bangladesh,2022-04-05,1951770,0
Barbados,2022-04-05,59495,0
Belarus,2022-04-05,964677,0
Belgium,2022-04-05,3877957,0
Belize,2022-04-05,57289,0
Benin,2022-04-05,26595,0
Bermuda,2022-04-05,12564,0
Bhutan,2022-04-05,31437,0
